,Tenure,Income,Age,Children,MonthlyCharge,Bandwidth_GB_Year
108,14.76468813,30649.31,42,0,172.456745,1963.332683
109,9.473091121,31417.33,33,3,194.976769,1324.164906
110,5.197446331,55861.19,47,1,137.439154,704.9375603
111,6.577552683,9044.26,48,1,192.470522,888.6517305
112,3.174571918,25381.66,63,0,159.951231,377.0810282
113,17.88002366,65064.31,40,1,112.455141,1606.489936
114,13.12190056,12527.51,67,0,174.961766,1431.409396
115,23.34617699,35499.06,56,0,162.452604,2253.85247
116,6.311709178,26282.4,24,6,137.483594,1353.29384
117,12.58298231,51237.28,79,2,275.133571,1701.457566
118,7.120096363,64222.21,61,3,127.442069,1290.737183
119,9.344886869,11014.98,38,0,210.138,1403.270091
120,22.37815032,21172.49,28,4,147.456419,2603.903672
121,4.799514433,26130.78,44,3,242.657291,1256.287854
122,10.04672315,36478.21,65,1,114.983787,980.9935923
123,8.156552837,54533.63,35,3,187.656013,1347.869205
124,7.992791229,37103.18,31,2,149.991327,1127.267848
125,7.231032028,74679.84,34,2,124.960655,1269.836202
126,4.627672042,95028.57,68,2,220.161527,1038.745378
127,10.05306287,34281.1,62,0,172.48852,1531.155367
128,4.171044392,36240.81,52,0,120.004928,991.2441024
129,4.568682641,9515.64,32,5,220.161527,1244.296865
131,2.730250735,12995.68,66,8,159.951231,577.1157824
132,8.574901206,77531.43,70,1,184.949594,1442.974877
133,9.743201772,87354.99,41,3,252.637807,1577.208717
134,9.482919033,76567.85,59,2,112.455141,886.9398744
135,8.447988841,30663.52,46,1,179.979358,1065.06443
136,6.365998533,122957.19,70,3,202.443347,951.886985
137,7.251397592,31600.92,89,1,197.472533,1404.435534
138,14.64011644,74638.78,75,4,255.155493,1925.911722
139,11.71637124,32652.3,26,0,174.976769,1805.011298
140,4.13273503,63650.54,25,4,169.992756,700.7343179
141,2.887429547,28622.6,84,1,192.440432,513.237305
142,3.303030246,50252.79,69,3,182.460772,717.3876564
143,5.15825129,19800.81,31,3,139.965008,1313.492851
145,2.733109234,36342.31,75,8,217.472533,882.1160656
146,3.180102025,48715.53,74,1,210.138,724.7803356
147,15.85983755,23204.98,49,1,104.964303,1829.270014
148,11.73724209,35302.52,47,1,262.610632,1668.199119
149,7.006240694,54895.16,20,4,152.488401,1124.353152
150,5.562130367,60398.06,26,2,174.974431,1316.239744
151,14.53027663,8115.88,72,2,220.118516,1637.201426
152,5.905906389,33858.66,41,1,162.452604,951.8524406
153,3.260462654,29950.47,26,3,184.961033,1248.097652
154,18.91276578,49421.69,55,4,217.483972,2220.255405
155,14.25617986,11061.05,46,1,220.118516,1669.202417
156,7.983887266,15388.32,87,0,187.642236,990.0555076
157,5.969967132,20624.31,39,1,174.961766,967.9819136
158,19.95277818,47877.81,81,0,252.637807,2190.259876
159,14.85781115,46154.17,83,0,130.024412,1445.752781
160,2.600063739,107111.8,50,0,162.482694,528.6553088
161,11.92299244,10403.59,87,3,182.467607,1296.481055
162,5.972864167,22412.6,76,3,139.934918,1195.393037
163,10.87555535,19476.27,25,6,200.165175,1700.121992
164,16.00330155,96382.76,34,3,202.682861,2120.673828
165,12.63074989,28022.56,46,1,159.951231,1238.421347
166,8.4944392,35478.4,73,1,149.948316,847.110799
167,8.044444101,10155.51,57,8,149.959755,1112.937102
168,12.07358377,87537.25,58,3,137.469817,1623.045026
169,10.21634248,34112.1,70,4,187.656013,1479.730181
170,15.50354683,32653.51,53,0,164.985293,2144.735024
171,13.88004531,35321.46,31,0,159.965008,1522.289512
172,19.48900163,49277.48,38,0,172.462354,1974.780054
173,10.01771765,37297.82,26,0,204.949594,1261.177198
174,7.34059599,14928.96,44,2,147.473844,939.7181324
175,12.64742067,24702.68,66,3,162.471255,1357.062854
176,8.850426839,87535.71,58,1,119.95684,1456.887443
177,3.701557118,63166.87,51,6,207.609354,937.5863866
178,2.976033785,11856.81,34,4,194.999168,830.1193011
179,5.522376826,27326.79,87,0,174.975543,737.8564608
180,15.64596698,12779.23,67,1,240.114868,1781.854862
181,23.00764441,25519.91,59,4,240.114868,2464.577489
182,17.24924155,46871.21,23,7,139.983006,2392.203409
183,13.01107597,77383.72,42,0,240.114868,1664.19271
184,5.104082209,47395.3,24,1,209.993134,1433.616898
185,3.521499924,90977.74,81,2,147.456419,823.4933243
187,1.875430489,47726.25,51,1,152.502178,590.7765801
188,5.587484456,51721.64,70,1,79.978861,418.6206885
189,7.007695148,41531.03,87,0,142.482694,1181.991846
190,1.408375942,33504.8,46,0,117.439154,733.4036934
191,11.64983735,34197.3,56,8,220.132293,1719.173387
192,2.964559883,11518.58,44,4,152.455519,1205.956363
193,10.25635754,31065.17,33,0,174.961766,1261.032763
194,3.892407013,32097.17,19,0,202.443347,741.7766988
195,3.226996711,23424.88,31,1,210.12704,932.6084359
196,15.87685513,35988.24,34,1,139.979239,1708.614019
197,5.874064017,35539.7,43,4,139.965008,1363.58603
198,3.756359276,27959.34,82,1,137.439154,472.1057019
199,2.905283283,52232.97,36,6,102.474625,558.2340556
200,1.474810061,18198.59,48,1,252.637807,815.194738
201,18.56165869,16851.94,52,0,194.999168,2007.303617
202,12.39088509,16440.05,35,1,242.610632,2088.48083
203,14.17192333,44223.58,83,3,127.458638,1430.761492
204,3.86023041,33343.73,20,0,129.976324,822.3008694
205,17.72593456,30664.56,25,0,240.114868,2059.200998
206,3.043063167,31934.04,88,0,174.975543,617.542543
207,5.827112819,26676.4,54,1,169.944668,758.4775985
208,4.648958177,67211.95,46,1,162.511928,894.6733856
209,11.96274778,31136.77,75,2,119.95684,1639.898269
210,4.525864256,40660.84,66,5,137.439154,710.7541633
211,8.038308899,10606.59,51,0,207.46728,1092.226042
212,1.416592892,92447.71,81,3,149.974105,757.0097075
213,19.83504645,13612.16,75,0,225.178625,2301.850721
214,15.85002222,13765.39,54,3,232.637807,2401.406545
215,15.94935291,53019.98,73,2,117.472036,1535.788894
216,11.94550648,42523.02,53,0,137.469817,1536.589816
217,16.03360405,52143.7,33,8,220.132293,2153.778421
218,21.29342532,19097.94,41,5,124.960655,2409.195918
219,4.95598008,11301.4,59,1,199.990219,1342.862457
220,2.73951266,17814.0,23,3,159.947583,1046.054674
221,4.973046104,22533.05,32,1,245.145743,1204.479468
222,10.28430068,19974.4,51,3,255.155493,1616.908193
223,2.581692044,45146.99,46,1,134.950905,345.0099528
224,6.945736396,10330.1,37,3,159.947583,1427.088655
225,9.999416271,15281.28,53,0,139.987503,1452.334634
226,6.035737465,11217.96,62,1,179.947583,795.4957358
227,9.004964377,17516.0,57,1,127.473844,1333.894229
228,5.071456681,20566.64,80,2,232.637807,1402.20491
229,12.02106494,36128.68,43,1,195.006206,1447.196935
230,5.049303717,52129.84,35,1,267.642733,1662.510936
231,18.17247008,25985.06,63,1,149.959755,1707.641161
232,15.31997698,10909.79,63,1,220.114868,2181.752793
233,16.0708543,41151.14,27,1,157.483594,1575.683555
234,7.873371451,64063.23,19,4,127.474951,1029.489242
235,23.62866494,20414.07,40,1,139.981577,2370.184448
236,25.8634566,41412.1,42,0,255.133571,3309.919373
237,9.405224809,99195.08,40,0,194.966286,1623.273925
238,12.84490034,18408.94,72,0,179.965581,1146.199921
239,16.59325254,15930.45,61,3,174.976769,2229.268031
240,20.35456039,25611.29,71,0,187.609354,2512.36494
241,12.00925702,9428.86,68,4,169.937833,1297.388488
242,2.861423443,3810.16,88,1,115.002061,283.39178
243,14.20349453,118022.06,64,1,152.462354,1947.7853
244,4.98152586,51992.79,63,1,207.609354,849.1972541
245,23.12150846,79993.43,53,0,147.503078,2131.359827
246,6.307178205,37706.85,41,0,200.118516,1464.035068
247,12.73622643,22466.53,63,2,137.497825,1381.538548
248,12.00466914,16608.27,56,4,134.980139,1248.626874
249,2.243757398,25146.14,27,2,147.442069,558.3751762
250,1.583394702,58882.35,47,2,197.494455,676.2178659
251,14.23487852,31809.46,42,4,162.529926,1641.938696
252,15.28108311,27235.54,72,0,210.151777,1811.964373
253,4.135827839,70476.82,58,3,159.965581,1066.632555
254,9.740709475,49396.09,33,0,190.173699,1514.131966
255,1.213704886,35060.94,87,6,202.649979,1189.549671
256,11.86252419,66055.53,34,0,134.950905,1114.020282
257,2.416685985,91335.76,76,7,142.500692,1078.291303
258,6.73327535,54349.75,38,3,114.997564,854.2977548
259,6.549035393,75042.1,47,0,232.62403,1489.077486
260,10.57197066,91001.1,84,7,242.628057,1649.312808
261,3.379756569,44426.28,19,4,202.443347,905.1959227
262,8.959047529,63284.16,87,0,124.993537,684.6318529
263,10.23679934,14039.21,75,3,174.976769,1662.533055
264,14.96503088,12453.24,37,0,225.145743,2436.57146
265,23.79323993,15934.12,52,1,275.133571,2677.74041
266,11.45675389,48314.4,24,0,287.642733,1779.309609
267,11.04076215,5511.77,83,4,177.65076,1494.716409
268,7.425503428,10701.11,19,3,220.114868,1740.72604
269,2.411712843,10767.15,78,1,197.516854,704.7552669
270,2.009542213,13493.63,61,4,194.974431,558.4710883
271,9.068119482,25071.58,38,0,175.133074,1282.279049
272,1.926789854,368.5,79,0,147.478341,287.8189836
273,11.77389421,27976.63,49,0,134.980139,1129.529441
274,2.585228303,56154.5,41,0,157.483594,394.0148722
275,9.517703088,62145.59,75,0,255.141716,1302.230824
276,9.532523799,6517.94,60,1,137.439154,970.4682919
277,23.103996,19090.03,70,1,235.159141,2522.88913
278,5.104873611,13194.33,23,0,147.460067,682.9871863
279,6.877942744,63963.36,84,2,232.637807,1537.109931
280,21.17839683,34447.89,63,1,137.439154,1961.923965
281,1.586331702,36315.29,88,2,129.948316,676.1747964
282,3.778174405,5009.07,44,0,242.632554,929.2607767
283,11.58276897,14202.72,49,1,187.609354,1849.484087
284,11.62258922,54779.76,32,8,232.652038,1998.680227
285,20.78013031,36453.31,69,1,159.980465,1898.877878
286,3.940297464,11250.71,60,2,159.947583,992.3501481
287,11.38099891,65951.35,57,0,137.487242,994.6354785
288,1.473304337,15292.25,62,8,245.131966,954.0290712
289,12.75609778,41879.1,26,0,117.439154,1775.838153
290,6.253919786,17080.57,85,0,209.993134,1297.050577
291,18.9537053,68122.23,82,2,169.974105,1746.405243
292,9.640061615,39468.79,40,2,197.470195,1698.465833
293,5.201330266,123763.12,50,0,137.516476,665.4740915
294,12.42120946,84301.44,71,1,207.475448,1886.153328
295,8.134438503,42469.81,48,2,160.00128,958.6989908
296,14.86764776,75458.79,24,0,147.478341,1446.203986
297,5.548652108,60345.9,79,3,127.488728,774.6125757
298,18.35541838,76066.77,82,4,139.981577,1939.811149
299,7.62779591,42755.27,68,2,220.132293,1165.564309
300,4.439685675,76874.25,77,5,214.952509,750.8768234
301,11.16903388,41075.64,19,1,139.99789,1292.3206
302,14.14101821,63095.62,80,1,270.160419,2335.130986
303,3.212400569,82131.87,31,4,202.443347,769.8534863
304,16.84928353,28502.33,62,2,172.47417,1729.837284
305,3.834727471,9450.84,80,4,137.468388,649.3891796
306,6.198230305,44977.06,36,1,104.962874,823.0046464
307,4.216732972,13583.35,72,0,174.969934,1107.882056
308,4.355064781,42093.64,50,0,139.99789,683.8622599
309,4.030250374,55398.87,31,3,144.988941,1301.49424
310,9.915959247,22362.59,22,0,114.997564,1079.012505
311,9.821728297,40271.47,50,0,172.484753,1283.463995
312,9.183905417,56178.63,28,0,124.97808,987.653655
313,8.892893007,21053.35,63,0,174.991856,1088.263081
314,7.661226872,75866.75,73,1,92.488023,583.0259559
315,12.4767812,74061.48,72,3,139.965008,1778.733282
316,2.462148717,35102.93,23,7,192.470522,900.4043765
317,14.09942339,26391.1,49,1,220.118516,1693.576099
318,7.272649386,29982.49,82,1,232.622804,1143.826239
319,3.999030359,51154.34,72,1,210.156274,886.340074
320,3.115945151,37583.97,45,1,114.972827,373.2772664
321,13.67931764,28654.87,73,1,149.977753,1245.328696
322,14.6728104,119968.61,78,1,184.985293,1564.936841
323,5.953547112,11591.09,71,4,132.479779,1354.401018
324,11.74635394,70174.11,67,4,190.12704,1971.429689
325,5.954024226,8495.04,43,1,92.488023,623.7865683
326,22.8577804,17191.02,27,5,220.114868,3040.553763
327,1.407866545,24732.09,39,2,107.495766,864.7036995
328,21.08265979,27282.21,52,0,169.967067,2042.113893
330,9.734064703,87568.16,48,0,200.132293,1755.645123
331,12.21754865,69327.78,22,0,262.610632,1758.735654
332,2.423722078,5194.22,69,1,152.495236,557.0118807
333,13.66061487,12951.51,31,1,202.636202,2205.334092
335,4.844060027,47288.09,65,0,159.983006,609.0598401
336,6.485034974,114398.35,49,4,124.960655,1221.100604
337,1.14113241,105646.73,69,6,252.62403,745.0493094
338,7.69213424,42386.84,74,3,104.97808,1220.452161
339,13.73012915,38864.57,27,3,204.961033,1771.472597
340,5.690013293,25215.22,79,4,245.145743,1201.484293
341,6.68894661,9302.3,41,1,95.019486,764.3017535
342,9.475983046,45225.74,51,0,169.937833,1022.415622
343,4.893221514,29976.15,57,0,207.475448,1284.442486
344,2.656915117,13155.79,66,1,114.983787,289.9240291
345,8.381515693,14980.5,85,4,232.637807,1718.600163
347,13.62832619,26204.77,79,8,212.641455,2270.749222
348,1.281566108,27978.78,56,3,152.495236,567.6177123
349,3.365552603,46622.3,80,1,134.950905,380.0501404
350,5.397827503,34419.26,37,0,200.132293,1436.408211
351,9.001231999,8507.97,24,7,197.470195,1852.503069
352,10.9750814,64420.19,48,3,192.456745,1312.008382
353,7.825845378,122263.81,68,0,162.471255,863.0820861
354,14.12966281,64446.9,74,3,222.660939,1854.793303
355,14.66914461,20647.83,37,1,114.950905,1778.431765
356,5.388165017,23956.91,54,0,182.446995,764.2419259
357,2.810825808,56003.36,84,1,95.005709,307.018806
360,6.10108047,70023.28,85,4,207.638588,1080.159892
361,4.950398978,40728.96,86,1,220.118516,775.5613336
362,10.16660427,69248.13,70,1,137.468388,1061.587971
363,12.29558653,65187.42,33,1,159.965008,1334.403775
364,24.8868126,26005.77,58,1,182.465269,2346.143947
365,9.660361769,10423.75,58,2,129.977753,1491.768656
366,7.663625954,28909.96,42,4,112.484375,927.1279646
367,5.25445262,28219.28,89,2,127.488728,686.9354616
368,13.59137366,67319.27,63,2,162.471255,1460.513443
369,12.3492819,71348.1,18,0,154.961766,1942.250203
370,18.37317391,39231.99,82,4,194.976769,1923.549943
371,8.498042024,28129.21,61,8,192.48852,1239.802036
372,22.33583015,69104.9,36,7,162.452604,2499.186161
373,1.541545443,31282.78,87,1,107.48056,302.3848209
374,12.78453216,65229.24,48,0,142.482694,1865.48625
375,2.527681829,15110.46,56,8,165.018175,908.7910203
376,7.065506244,66922.3,57,0,125.007314,790.9469893
377,4.258552081,1666.59,89,3,139.987503,956.2636975
378,4.801969514,50258.38,30,6,112.455141,639.3261343
379,5.204853319,54373.35,54,4,212.622804,1572.045646
380,32.0730133,33588.84,55,5,182.460772,3099.922244
381,11.16847385,23629.05,46,1,159.947583,1599.727567
382,16.8000196,91186.03,18,0,245.145743,2188.672399
383,17.6210362,20204.74,58,0,149.977753,1586.699491
384,17.18829795,37703.83,60,1,184.967019,1828.279015
385,17.52138221,29117.32,62,2,92.455141,1866.966586
386,10.4103675,52531.72,30,4,149.944668,1718.555203
387,3.310281145,25742.72,75,4,167.456419,556.2193844
388,2.993625911,21072.82,23,7,197.516854,1035.183038
389,16.26037537,37774.81,84,1,152.488401,1580.43019
390,3.045064701,20811.42,61,3,162.482694,703.6927423
391,15.35762157,34474.39,75,0,262.610632,1842.258692
392,5.940902789,81388.6,72,3,190.173699,1167.271182
393,5.988505209,78272.96,66,0,187.513939,1007.289786
394,7.138784756,11655.88,81,2,212.641455,1500.69101
395,8.951793883,37773.19,34,4,104.964303,1404.773397
396,4.221959275,40183.01,82,1,232.637807,1342.310858
397,9.797427154,37149.4,73,1,142.499263,1250.94478
398,10.90397471,10331.57,28,0,277.63748,1710.958869
399,1.665591776,37096.85,48,1,112.455141,169.3992798
400,8.611218573,26004.59,53,2,220.118516,1261.554565
401,1.28507969,77291.95,52,4,139.951231,794.9581116
402,1.379696124,24462.25,20,3,184.978458,713.364269
403,3.084376591,75871.75,19,0,210.138,952.5914921
404,2.43754565,28840.47,70,0,142.468917,778.6094503
405,3.288124191,25299.48,48,4,160.00128,627.0001275
406,32.30772134,37631.4,28,2,127.481989,2938.319116
407,13.46565415,23014.69,52,2,162.452604,1566.001524
408,19.244458,31300.68,77,1,172.457857,1889.642423
409,8.69085131,55840.35,71,3,255.155493,1420.771651
410,3.778575882,9729.44,22,4,184.979684,1254.725693
411,10.27819073,35891.67,88,1,175.006206,1570.345219
412,4.156887945,20801.9,25,0,112.455141,500.4406927
413,11.32083915,112429.2,21,2,194.958118,1563.848623
414,5.254442453,33217.64,39,1,172.44408,787.0962355
415,5.2551003,45562.97,29,1,200.165175,1119.610001
416,6.417132666,15380.9,22,1,127.460067,1155.782468
418,4.924623699,57900.98,74,4,207.49737,922.1362066
419,6.325942162,60476.86,84,2,169.937833,717.6823944
420,17.22220989,26875.13,65,1,152.457857,2223.835601
421,3.238699239,24447.03,29,2,162.460772,1143.685617
422,6.437878909,14817.22,51,2,200.132293,1537.296207
423,15.22323989,6170.55,40,0,182.460772,1614.544362
424,7.484425045,33620.38,49,2,124.97808,758.8338668
425,7.218752772,86453.08,61,7,230.105118,1317.766231
426,11.69875604,31466.9,61,3,147.473844,1189.578203
427,10.03363969,76984.15,85,1,142.482694,1467.273158
428,18.46162568,43586.8,25,8,152.479779,2192.693797
429,16.52138638,13148.09,48,4,105.010962,1568.47416
430,13.83290937,11612.88,86,4,114.965789,1376.095043
431,5.02568958,71215.87,53,0,184.978458,811.5600648
432,2.644787483,18113.33,88,2,134.950905,243.2617759
433,2.522962069,18895.18,40,1,182.490006,676.6465414
434,3.508974199,48852.54,23,1,192.470522,801.4709595
435,11.50651216,6574.36,63,3,149.962093,1316.145864
436,10.96319721,10342.14,28,2,95.019486,1270.217581
437,5.505247606,23028.48,26,1,245.174977,1339.709597
438,14.16961729,31843.16,22,2,169.944668,1624.799349
439,10.27782059,31920.88,43,2,207.49737,1400.834009
440,3.364993591,54961.9,70,6,245.145743,1149.108155
441,9.307770559,119964.79,48,2,127.478341,1387.016004
442,1.171557288,21897.41,29,1,182.467607,544.12326
443,7.262579715,72129.01,61,4,267.642733,1803.917571
444,17.06899012,16368.02,73,1,104.992311,1518.747945
445,10.8600084,59147.78,27,2,164.978458,1932.20577
446,16.48065356,65900.37,56,1,240.114868,1886.312286
447,10.85041661,69369.36,19,6,124.960655,1738.71901
448,4.85576672,23382.74,56,1,127.442069,1060.026737
449,1.715329149,25886.2,83,2,169.992756,250.9270047
450,21.71097206,99519.26,84,3,169.992756,1916.832871
451,3.470685398,93039.69,62,0,179.979358,573.9920618
452,1.914386255,37852.37,67,0,134.950905,272.9823095
453,9.16272705,54727.46,21,1,192.440432,1233.975771
454,7.457173484,47944.46,31,2,172.440432,1552.772876
455,4.991605214,18402.27,25,2,212.669463,1259.735294
456,10.5903229,43631.75,60,0,175.133074,1287.821218
457,14.68216127,31392.97,84,6,159.965008,1516.667438
458,5.440398012,10466.23,36,1,112.484375,589.9932647
459,11.92300936,20197.89,87,0,179.965581,1021.482609
460,9.461939857,99482.26,80,2,252.62403,1267.634616
461,13.90000955,48005.75,34,0,95.005709,1266.503765
462,13.99579075,50666.54,39,4,240.114868,1877.852717
463,13.44056701,6117.38,42,8,105.010962,1541.134986
464,3.179043613,7953.27,36,4,182.45383,744.2470872
465,14.58066686,101000.3,18,0,149.944668,2023.519366
466,17.24908083,10882.02,66,0,144.960655,1428.427469
467,2.760467902,69156.25,20,3,187.609354,1283.253595
468,20.04140358,19563.77,73,0,129.962093,2256.776479
469,8.001673351,27113.0,83,0,129.976324,955.0876357
471,14.68600159,23165.82,62,2,172.44408,1562.32774
472,4.135515169,13378.22,34,2,117.485813,776.4780765
473,9.086633107,5337.97,28,2,159.965008,1118.646915
474,9.493585403,72490.86,26,2,167.484705,1781.692875
475,5.372758028,12476.24,82,2,129.962093,1086.92093
476,13.82188875,64584.13,59,1,139.981577,1551.398147
477,2.598489694,32885.95,46,6,124.97808,573.751474
478,12.9401487,80862.03,44,1,255.137219,1794.116848
479,4.957713222,49800.1,56,4,230.105118,1103.594576
481,7.176411327,19133.76,50,2,255.155493,1381.802291
482,5.709925704,23413.1,53,7,172.457857,1091.10126
483,3.956375328,11957.82,84,1,137.483594,891.9472856
484,1.033067819,31250.41,33,5,167.456419,538.1168657
485,2.206152519,9487.91,29,3,127.495766,497.9042695
486,3.820262172,13533.47,87,7,287.642733,1115.476658
487,2.640977982,46533.08,34,3,167.456419,522.7315686
488,5.622660986,47946.16,34,3,164.988941,961.5888385
489,1.634394387,14393.72,28,1,242.632554,883.9008134
490,2.012075635,4102.64,68,2,130.006414,565.3167155
491,10.06913982,11249.18,26,0,257.63748,2062.605873
492,6.935335786,18684.74,61,0,129.977753,1197.080651
493,15.56741347,75276.52,79,4,232.622804,1972.725118
494,12.75071284,78129.73,49,1,182.467607,1427.321538
495,8.573785357,97761.18,85,3,220.132293,1218.124487
496,13.86188691,20789.86,25,0,252.637807,1874.789062
497,10.77929667,34038.71,19,0,142.452604,1806.007164
498,16.88097916,16051.94,28,0,94.972827,1939.600904
499,16.92163398,24266.04,86,0,210.105118,2275.888923
500,11.91663193,28712.86,54,0,92.455141,1372.385193
501,2.81822785,18966.81,28,2,194.969934,785.6266383
502,5.100566529,67530.44,25,2,129.977753,1226.343895
503,4.806882153,38866.92,81,4,242.628057,1047.361909
504,5.658327457,44314.39,89,2,197.48762,893.5446642
505,2.649525158,26929.55,62,0,242.610632,1210.047397
506,18.76976086,50643.95,31,1,139.934918,2329.912456
507,13.04542381,4803.58,48,3,112.455141,1163.407505
508,1.534192133,21278.71,22,1,182.490006,736.9303356
509,9.039309605,16874.68,22,0,149.988989,1134.880009
510,10.15330548,20314.7,20,2,107.495766,1561.294194
512,1.542556879,28908.4,81,0,225.145743,1192.502878
